Name,Organization,Year Elected,Residency,Status
Prince Manuel Godoy,APS,1804,International,Member
Baron von F.H. Alexander Humboldt,APS,1804,International,Member
David Humphreys,APS,1804,Resident,Member
Edward Jenner,APS,1804,International,Member
William Short,APS,1804,Resident,Member
Sam Webber,APS,1804,Resident,Member
Joseph Willard,APS,1804,Resident,Member
William Hawes,APS,1805,International,Member
William Jones,APS,1805,Resident,Member
Edward Miller,APS,1805,Resident,Member
Samuel Moore,APS,1805,Resident,Member
John Prince,APS,1805,Resident,Member
Benjamin Silliman,APS,1805,Resident,Member
Charles Smith,APS,1805,Resident,Member
William Tilghman,APS,1805,Resident,Member
F.A. Vanderkemp,APS,1805,Resident,Member
Bushrod Washington,APS,1805,Resident,Member
Adrien G. Camper,APS,1806,International,Member
Joseph Cloud,APS,1806,Resident,Member
Samuel F. Conover,APS,1806,Resident,Member
William Dubourg,APS,1806,Resident,Member
John Maclean,APS,1806,Resident,Member
Martinus van Martius,APS,1806,International,Member
Joseph Sansom,APS,1806,Resident,Member
Francisco de Borja Garcao Stockler,APS,1806,International,Member
Olof Swartz,APS,1806,International,Member
Comte Antoine L.C. Desturr de Tracy,APS,1806,International,Member
Samuel B. Wylie,APS,1806,Resident,Member
Archibald Bruce,APS,1807,Resident,Member
Nathaniel Chapman,APS,1807,Resident,Member
Mahlon Dickerson,APS,1807,Resident,Member
John E. Forstroem,APS,1807,International,Member
James Gibson,APS,1807,Resident,Member
Ferd R. Hassler,APS,1807,Resident,Member
George Izard,APS,1807,Resident,Member
John McDowell,APS,1807,Resident,Member
Ir _ e Du Pont,APS,1807,Resident,Member
Comte de Charles P. Lasteyrie du Saillant,APS,1807,International,Member
Horace Binney,APS,1808,Resident,Member
Edward Penington,APS,1808,Resident,Member
William Staughton,APS,1808,Resident,Member
Joel Barlow,APS,1809,Resident,Member
Nathaniel Bowditch,APS,1809,Resident,Member
Ross Cuthbert,APS,1809,International,Member
George William Featherstonhaugh,APS,1809,Resident,Member
Robert Fulton,APS,1809,Resident,Member
Silvain Godon,APS,1809,Resident,Member
Francois A. Michaux,APS,1809,International,Member
Thomas Moore,APS,1809,Resident,Member
Robert M. Patterson,APS,1809,Resident,Member
David B. Warden,APS,1809,Resident,Member
James Winthrop,APS,1809,Resident,Member
J.H. Brinton,APS,1810,Resident,Member
Humphry Davy,APS,1810,International,Member
George Gibbs,APS,1810,Resident,Member
John Haighton,APS,1810,International,Member
David Hosack,APS,1810,Resident,Member
William Johnson,APS,1810,Resident,Member
William Bentley,APS,1811,Resident,Member
John Davis,APS,1811,Resident,Member
John M. Good,APS,1811,International,Member
Louis N. Vanquelin,APS,1811,International,Member
Charles J. Wister,APS,1811,Resident,Member
Robert Adrain,APS,1812,Resident,Member
Benjamin Allen,APS,1812,Resident,Member
Jose F. Correa da Serra,APS,1812,International,Member
Robert Walsh,APS,1812,Resident,Member
W.P.C. Barton,APS,1813,Resident,Member
